round,mean_local_training_time_seconds,aggregation_time_seconds,accuracy,precision,recall,f1_score,balanced_accuracy,roc_auc
1,0.042275428771972656,7.224082946777344e-05,0.8666666666666667,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8638392857142857,0.9520089285714286
2,0.025696436564127605,7.176399230957031e-05,0.8666666666666667,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8638392857142857,0.9475446428571428
3,0.024120887120564777,0.0021398067474365234,0.85,0.88,0.7857142857142857,0.8301886792452831,0.8459821428571428,0.9464285714285714
4,0.01414036750793457,7.414817810058594e-05,0.85,0.88,0.7857142857142857,0.8301886792452831,0.8459821428571428,0.9486607142857143
5,0.01785723368326823,6.985664367675781e-05,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8303571428571428,0.9508928571428572
