Dataset,Method,Accuracy,Precision,Recall,F1-score,Balanced Accuracy,ROC-AUC,Training Time (s)
Heart Disease,Centralised LR,0.8400 ± 0.0480,0.8526 ± 0.0382,0.7929 ± 0.0814,0.8208 ± 0.0591,0.8371 ± 0.0500,0.8980 ± 0.0474,0.0017 ± 0.0002
Heart Disease,Federated LR (FedAvg),0.8467 ± 0.0477,0.8603 ± 0.0267,0.8000 ± 0.0931,0.8276 ± 0.0603,0.8438 ± 0.0505,0.8984 ± 0.0511,0.0851 ± 0.0108
Stroke Prediction,Centralised LR,0.7497 ± 0.0103,0.1250 ± 0.0058,0.8095 ± 0.0673,0.2165 ± 0.0107,0.7783 ± 0.0290,0.8445 ± 0.0225,0.0177 ± 0.0013
Stroke Prediction,Federated LR (FedAvg),0.7330 ± 0.0196,0.1164 ± 0.0064,0.7952 ± 0.0852,0.2029 ± 0.0116,0.7627 ± 0.0341,0.8367 ± 0.0233,0.1115 ± 0.0092
