Method,Accuracy,Precision,Recall,F1-score,Balanced Accuracy,ROC-AUC
Centralised LR,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8303571428571428,0.9497767857142857
Federated LR (FedAvg),0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8303571428571428,0.9508928571428572
CKKS Encrypted Inference,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8303571428571428,0.9497767857142857
