Accuracy,Precision,Recall,F1-score,Balanced Accuracy,ROC-AUC,Dataset,Seed,Method,Training Time (s)
0.8333333333333334,0.875,0.75,0.8076923076923077,0.828125,0.8560267857142857,Heart Disease,11,Centralised LR,0.0020904541015625
0.8333333333333334,0.875,0.75,0.8076923076923077,0.828125,0.8504464285714286,Heart Disease,11,Federated LR (FedAvg),0.07903122901916504
0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.8482142857142857,0.9118303571428572,Heart Disease,22,Centralised LR,0.0015859603881835938
0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.8482142857142857,0.9174107142857142,Heart Disease,22,Federated LR (FedAvg),0.08135271072387695
0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.8482142857142857,0.9241071428571428,Heart Disease,33,Centralised LR,0.0015370845794677734
0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.8482142857142857,0.9241071428571428,Heart Disease,33,Federated LR (FedAvg),0.0785512924194336
0.7666666666666667,0.7916666666666666,0.6785714285714286,0.7307692307692307,0.7611607142857143,0.8426339285714286,Heart Disease,44,Centralised LR,0.0016219615936279297
0.7833333333333333,0.8260869565217391,0.6785714285714286,0.7450980392156863,0.7767857142857143,0.8404017857142857,Heart Disease,44,Federated LR (FedAvg),0.10418581962585449
0.9,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8995535714285714,0.9553571428571428,Heart Disease,55,Centralised LR,0.0016338825225830078
0.9166666666666666,0.896551724137931,0.9285714285714286,0.9122807017543859,0.9174107142857143,0.9598214285714286,Heart Disease,55,Federated LR (FedAvg),0.08214759826660156
