Accuracy,Precision,Recall,F1-score,Balanced Accuracy,ROC-AUC,Dataset,Seed,Method,Training Time (s)
0.7433808553971487,0.11678832116788321,0.7619047619047619,0.20253164556962025,0.7522289766970618,0.8216818642350557,Stroke Prediction,11,Centralised LR,0.019757509231567383
0.7403258655804481,0.11552346570397112,0.7619047619047619,0.2006269592476489,0.7506332320162108,0.8217325227963526,Stroke Prediction,11,Federated LR (FedAvg),0.11574625968933105
0.7617107942973523,0.12790697674418605,0.7857142857142857,0.22,0.773176291793313,0.8422239108409321,Stroke Prediction,22,Centralised LR,0.017971277236938477
0.7189409368635438,0.10738255033557047,0.7619047619047619,0.18823529411764706,0.7394630192502533,0.8251519756838905,Stroke Prediction,22,Federated LR (FedAvg),0.1079561710357666
0.7362525458248472,0.13220338983050847,0.9285714285714286,0.2314540059347181,0.8281155015197569,0.8752279635258359,Stroke Prediction,33,Centralised LR,0.01640772819519043
0.7260692464358453,0.1254125412541254,0.9047619047619048,0.22028985507246376,0.8114235055724417,0.8701367781155015,Stroke Prediction,33,Federated LR (FedAvg),0.1044161319732666
0.7494908350305499,0.12222222222222222,0.7857142857142857,0.21153846153846154,0.7667933130699088,0.8581560283687943,Stroke Prediction,44,Centralised LR,0.01732325553894043
0.7158859470468432,0.11650485436893204,0.8571428571428571,0.20512820512820512,0.7833586626139817,0.851418439716312,Stroke Prediction,44,Federated LR (FedAvg),0.12560796737670898
0.7576374745417516,0.12595419847328243,0.7857142857142857,0.21710526315789475,0.771048632218845,0.825405268490375,Stroke Prediction,55,Centralised LR,0.017139911651611328
0.7637474541751528,0.11693548387096774,0.6904761904761905,0.2,0.7287487335359676,0.8148682877406281,Stroke Prediction,55,Federated LR (FedAvg),0.10366415977478027
