round,mean_local_training_time_seconds,aggregation_time_seconds,accuracy,precision,recall,f1_score,balanced_accuracy,roc_auc
1,0.009395837783813477,0.00010824203491210938,0.7484725050916496,0.10424710424710425,0.6428571428571429,0.17940199335548174,0.6980243161094225,0.8101570415400203
2,0.009618759155273438,6.127357482910156e-05,0.745417515274949,0.10305343511450382,0.6428571428571429,0.17763157894736842,0.6964285714285714,0.8101823708206687
3,0.012810866038004557,5.507469177246094e-05,0.7464358452138493,0.10344827586206896,0.6428571428571429,0.1782178217821782,0.6969604863221885,0.8101317122593719
4,0.011317968368530273,5.888938903808594e-05,0.7464358452138493,0.10344827586206896,0.6428571428571429,0.1782178217821782,0.6969604863221885,0.8101063829787234
5,0.00970760981241862,5.7697296142578125e-05,0.7464358452138493,0.10344827586206896,0.6428571428571429,0.1782178217821782,0.6969604863221885,0.8101317122593719
