Method,Accuracy,Precision,Recall,F1-score,Balanced Accuracy,ROC-AUC,Dataset
Centralised LR,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8303571428571428,0.9497767857142856,Heart Disease
Federated LR (FedAvg),0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8303571428571428,0.9508928571428572,Heart Disease
CKKS Encrypted Inference,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8303571428571428,0.9497767857142856,Heart Disease
Centralised LR,0.7566191446028513,0.1137254901960784,0.6904761904761905,0.1952861952861952,0.7250253292806484,0.810258358662614,Stroke Prediction
Federated LR (FedAvg),0.7464358452138493,0.1034482758620689,0.6428571428571429,0.1782178217821782,0.6969604863221885,0.8101317122593719,Stroke Prediction
CKKS Encrypted Inference,0.7566191446028513,0.1137254901960784,0.6904761904761905,0.1952861952861952,0.7250253292806484,0.810258358662614,Stroke Prediction
