Method,Accuracy,Precision,Recall,F1-score,Balanced Accuracy,ROC-AUC
Centralised LR,0.7566191446028513,0.11372549019607843,0.6904761904761905,0.19528619528619529,0.7250253292806484,0.810258358662614
Federated LR (FedAvg),0.7464358452138493,0.10344827586206896,0.6428571428571429,0.1782178217821782,0.6969604863221885,0.8101317122593719
CKKS Encrypted Inference,0.7566191446028513,0.11372549019607843,0.6904761904761905,0.19528619528619529,0.7250253292806484,0.810258358662614
